User,Tweet_ID,Source,Created_at,Retweet_count,Favorite_count,Text
@HillaryClinton,1131237815461793792,Twitter Web Client,2019-05-22 16:38:07,886,4100,b'Congratulations to @OnwardTogether partner @SwingLeft and grantee @Flippable_org for joining forces! \n\nAfter helpin\xe2\x80\xa6 https://t.co/7KZ0yMxQxm'
@HillaryClinton,1131195947034304512,Twitter Web Client,2019-05-22 13:51:45,4525,24115,"b'His last campaign manager, Anne Kronenberg, said of Harvey Milk: ""He imagined a righteous world inside his head and\xe2\x80\xa6 https://t.co/x743NNa9cd'"
@HillaryClinton,1130906769943875584,Twitter Web Client,2019-05-21 18:42:39,1424,7934,b'Love this tribute to community colleges and their talented students! https://t.co/8ooPiIuTBQ'
@HillaryClinton,1130830939330760704,Twitter Web Client,2019-05-21 13:41:20,4393,18397,"b""Let's elect more pro-choice women. @RunforSomething @EmergeAmerica @emilyslist https://t.co/O5rfTC4rf5"""
@HillaryClinton,1130805819598102535,Twitter Web Client,2019-05-21 12:01:31,3628,11410,b'Today at noon: Speak out and fight back to protest the wave of recent abortion bans. \n\nFind an event near you:\xe2\x80\xa6 https://t.co/7iZAF6auxW'
@HillaryClinton,1130581759639396352,Twitter Web Client,2019-05-20 21:11:11,10263,41180,b'This is grotesque. https://t.co/CvFf9rPO2H'
@HillaryClinton,1130573037420597249,Twitter Web Client,2019-05-20 20:36:31,3011,9626,"b""In the face of extreme abortion bans sweeping the country, we all have to stand up for women's rights. \n\nAt noon to\xe2\x80\xa6 https://t.co/M34QkVQjqx"""
@HillaryClinton,1130555721416888320,Twitter Web Client,2019-05-20 19:27:43,16047,38355,b'The boy is the second child to have died in CBP custody in the past week. https://t.co/uLJVezJ1SE'
@HillaryClinton,1129433708807770112,Twitter Web Client,2019-05-17 17:09:14,699,3670,b'Watching the mayor\xe2\x80\x99s race in Denver and pulling for @MayorHancock\xe2\x80\x94he\xe2\x80\x99s a proven progressive leader who will work hard for Colorado.'
@HillaryClinton,1129421840500363264,Twitter Web Client,2019-05-17 16:22:05,3612,10668,"b'In 2019, every day is Endangered Species Day. We have to act now to prevent the loss of 1 million species over the\xe2\x80\xa6 https://t.co/6JNzJdfEtI'"
@HillaryClinton,1129405238534901761,Twitter Web Client,2019-05-17 15:16:06,4848,24167,"b'More than 200 major corporations, 500 statewide and local organizations, a bipartisan consensus in Congress, and 70\xe2\x80\xa6 https://t.co/imfSThA8pp'"
@HillaryClinton,1129387825252712449,Twitter Web Client,2019-05-17 14:06:55,3393,13412,"b'As I said in my keynote celebrating the essential work of @heartlandhelps: We have to affirm that torture, physical\xe2\x80\xa6 https://t.co/Dy9NBuNWDh'"
@HillaryClinton,1129027398920491009,Twitter Web Client,2019-05-16 14:14:42,7813,43924,b'Grateful to Planned Parenthood for continuing to provide essential services in Alabama and elsewhere while helping\xe2\x80\xa6 https://t.co/85I0J7V1Yk'
@HillaryClinton,1128716614990487552,Twitter Web Client,2019-05-15 17:39:46,1190,5370,"b'If you want to be inspired every day, I highly recommend giving our partners a follow: @alliance4youth @arenasummit\xe2\x80\xa6 https://t.co/icvaFgkwsi'"
@HillaryClinton,1128716614256427008,Twitter Web Client,2019-05-15 17:39:46,1293,8502,"b'We\xe2\x80\x99ve raised money to reunite families separated at the border and brought in $12 million for progressive groups, c\xe2\x80\xa6 https://t.co/yqnBpjKA58'"
@HillaryClinton,1128716613463814145,Twitter Web Client,2019-05-15 17:39:45,1595,10599,"b'Happy two-year anniversary to our @OnwardTogether partners. In two years, we\xe2\x80\x99ve brought on 13 incredible groups as\xe2\x80\xa6 https://t.co/ZaOV7PM0UP'"
@HillaryClinton,1128668280913387521,Twitter Web Client,2019-05-15 14:27:42,9469,41638,b'None of us should accept a future in which our daughters and granddaughters have fewer rights than we do. \n\nChoose\xe2\x80\xa6 https://t.co/kT1YjXi9WL'
@HillaryClinton,1128668142018924545,Twitter Web Client,2019-05-15 14:27:09,11211,27918,"b""Here's what you can do today to fight back:\n\n1. Donate to @abortionfunds: https://t.co/JY9MwWRG6g\n\n2. Support\xe2\x80\xa6 https://t.co/7UnzXjx7jn"""
@HillaryClinton,1128667204164169728,Twitter Web Client,2019-05-15 14:23:25,50961,204584,"b""The abortion bans in Alabama, Georgia, Ohio, Kentucky, and Mississippi are appalling attacks on women's lives and f\xe2\x80\xa6 https://t.co/PLrJ3NL4xg"""
@HillaryClinton,1128320182194192384,Twitter Web Client,2019-05-14 15:24:29,3897,15976,"b""As I told @Columbia students last night:\n\nFor all the progress we've made on civil rights and women's rights, there\xe2\x80\xa6 https://t.co/VfXEU6lEf9"""
@HillaryClinton,1128105714130530316,Twitter for iPhone,2019-05-14 01:12:16,8094,0,b'RT @RonWyden: Let\xe2\x80\x99s not forget that one of the biggest overlooked bombshells in the #MuellerReport was Russia\xe2\x80\x99s 2016 infiltration of a voti\xe2\x80\xa6'
@HillaryClinton,1128048937149972480,Twitter Web Client,2019-05-13 21:26:39,995,6814,"b""I'm on @Columbia's beautiful campus tonight for a conversation with President Lee Bollinger. You can watch live her\xe2\x80\xa6 https://t.co/HNWMsfcj3U"""
@HillaryClinton,1128014732189999104,Twitter Web Client,2019-05-13 19:10:44,206,0,b'RT @runforsomething: Together we can make sure that progressive leaders have a seat at the table in 2021. Sign up today and join the Grassr\xe2\x80\xa6'
@HillaryClinton,1128005604176322560,Twitter Web Client,2019-05-13 18:34:28,1553,5694,"b'As this remarkable piece of journalism reminds us, the ordeal for survivors of torture doesn\xe2\x80\x99t end after they are f\xe2\x80\xa6 https://t.co/HyWHKtguzr'"
@HillaryClinton,1127570199144738816,Twitter Web Client,2019-05-12 13:44:19,3529,51515,"b""Happy Mother's Day! https://t.co/X1OAEKkObQ"""
@HillaryClinton,1126966988432134146,Twitter Web Client,2019-05-10 21:47:22,1495,7472,"b'I\xe2\x80\x99ve dedicated much of my career to improving the lives of children and families, and part of that was working to i\xe2\x80\xa6 https://t.co/IlGZuALkDA'"
@HillaryClinton,1126535324753178625,Twitter Web Client,2019-05-09 17:12:06,15103,66660,"b'The FDA approved the very first birth control pill 59 years ago today, and the world opened up for women. \n\nReprodu\xe2\x80\xa6 https://t.co/c7zsg0DpBG'"
@HillaryClinton,1126523769831477248,Twitter Web Client,2019-05-09 16:26:11,487,2748,b'Thank you to all the students at @dartmouth for their thoughtful questions yesterday on everything from Iran and Ch\xe2\x80\xa6 https://t.co/8tjHwy8Jt3'
@HillaryClinton,1126510833595555840,Twitter Web Client,2019-05-09 15:34:46,34764,0,"b'RT @ananavarro: While Trump &amp; supporters at rally yesterday, reacted by laughing when someone shouted about shooting immigrants at the bord\xe2\x80\xa6'"
@HillaryClinton,1126229890876022787,Twitter Web Client,2019-05-08 20:58:24,323,1743,"b""I'm excited to join my old friends and colleagues Jake Sullivan and @Benjamin05055 at Dartmouth's Dickey Center for\xe2\x80\xa6 https://t.co/0NoFXE8tNv"""
@HillaryClinton,1126159716533641220,Twitter Web Client,2019-05-08 16:19:34,493,4328,"b""I'm so sorry to hear of Freia David\xe2\x80\x99s passing. I came to know her story when the Boston Globe reported on how a lit\xe2\x80\xa6 https://t.co/8XfbOXxgWq"""
@HillaryClinton,1126140966224707584,Twitter Web Client,2019-05-08 15:05:03,12022,56468,"b""Six-week abortion bans are effectively total bans on abortion, as many women don't know they are pregnant at six we\xe2\x80\xa6 https://t.co/d9ejXGzzO3"""
@HillaryClinton,1126129722868498432,Twitter Web Client,2019-05-08 14:20:23,1722,7103,b'\xe2\x80\x9cThe work of democracy is about trying to do together what we cannot do individually. And so for me the best way to\xe2\x80\xa6 https://t.co/T3dRzA4bUq'
@HillaryClinton,1125883287690465281,Twitter Web Client,2019-05-07 22:01:08,3014,9307,b'An American mother today is 50% more likely to die during childbirth than her own mother. It\xe2\x80\x99s time to tackle the c\xe2\x80\xa6 https://t.co/H2ySb5eUD7'
@HillaryClinton,1125835719488999425,Twitter Web Client,2019-05-07 18:52:07,4322,11750,"b""No one should have their right to vote taken away because of fines. The Florida GOP's measure requiring people to p\xe2\x80\xa6 https://t.co/xuKEKfyb4h"""
@HillaryClinton,1125815304834179078,Twitter Web Client,2019-05-07 17:30:59,3380,11153,b'Take a moment today to help. \n\nCall your representatives and urge them to vote yes on the Dignity for Detained Immi\xe2\x80\xa6 https://t.co/aijLtKotXa'
@HillaryClinton,1125815303944929280,Twitter Web Client,2019-05-07 17:30:59,6534,30011,"b'Today marks one year since the administration announced its ""zero tolerance"" policy at the border. \n\nFamilies were\xe2\x80\xa6 https://t.co/LHMu4qMSZO'"
@HillaryClinton,1125792960703025152,Twitter Web Client,2019-05-07 16:02:12,409,0,"b""RT @ChelseaClinton: At the @ClintonFdn, I'm inspired every day by the people we work with around the world. Looking forward sharing some of\xe2\x80\xa6"""
@HillaryClinton,1125773554354724867,Twitter Web Client,2019-05-07 14:45:05,2250,16847,"b'My prayers go out to everyone grieving the tragic loss of @RachelHeldEvans. She lived a life of generosity, justice\xe2\x80\xa6 https://t.co/e6RGP6xs0C'"
@HillaryClinton,1125760428645208065,Twitter Web Client,2019-05-07 13:52:56,617,3058,b'Happy anniversary! Latino Victory has made amazing strides in growing Latino political power and increasing Latino\xe2\x80\xa6 https://t.co/WfoN6VsdzM'
@HillaryClinton,1125748030836236288,Twitter Web Client,2019-05-07 13:03:40,6194,17849,"b'These facts are stark: \xe2\x80\x9cAround 1 million species already face extinction, many within decades.\xe2\x80\x9d We urgently have to\xe2\x80\xa6 https://t.co/FecrUfElVZ'"
@HillaryClinton,1125514764224991233,Twitter Web Client,2019-05-06 21:36:45,2855,33084,"b'Bill and I send our warmest congratulations to Meghan, Harry, and the entire @RoyalFamily for the new addition! What a blessing.'"
@HillaryClinton,1124387248370257925,Twitter Web Client,2019-05-03 18:56:24,1340,9326,"b""We'll be in Seattle tonight with @WhitfordBradley! In addition to famously playing a White House staffer on TV, Bra\xe2\x80\xa6 https://t.co/RiVDZ5QP8m"""
@HillaryClinton,1124298615470555136,Twitter Web Client,2019-05-03 13:04:13,1419,6202,"b""Bill, Chelsea, and the @ClintonFdn are launching a new podcast, and I am terribly biased but I can't wait to listen\xe2\x80\xa6 https://t.co/7i1TVm1FgO"""
@HillaryClinton,1124078538230050817,Twitter Web Client,2019-05-02 22:29:42,911,6675,"b""Bill and I will be in Vancouver tonight with @SophiaBush! Sophia's an amazing storyteller, activist and\xe2\x80\x94as she'll t\xe2\x80\xa6 https://t.co/9ZSY3A8sUN"""
@HillaryClinton,1123987217179914240,Twitter Web Client,2019-05-02 16:26:49,558,4906,"b'Thanks to the always-delightful @TonyGoldwyn for sharing a stage with Bill and me in Boston, among many ferns. \n\nPh\xe2\x80\xa6 https://t.co/wpDvoBHNcB'"
@HillaryClinton,1123960188938199040,Twitter Web Client,2019-05-02 14:39:25,6527,0,b'RT @GavinNewsom: The Trump admin just filed a brief trying to dismantle the ENTIRE AFFORDABLE CARE ACT.\n\n-130 million people w/pre-existing\xe2\x80\xa6'
@HillaryClinton,1123955613225115649,Twitter Web Client,2019-05-02 14:21:14,1163,0,b'RT @fams2gether: Another migrant child has tragically died in federal custody. There is no denying that this is a pattern. Refugee and asyl\xe2\x80\xa6'
@HillaryClinton,1123944838964088832,Twitter Web Client,2019-05-02 13:38:26,9154,39282,"b'Imagine if a Democratic 2020 candidate said: ""China, if you\'re listening..."" \n\nJust saying that shows the absurdity\xe2\x80\xa6 https://t.co/13Ihf4gYtR'"
@HillaryClinton,1123665742149365761,Twitter Web Client,2019-05-01 19:09:24,595,0,b'RT @MSNBC: TONIGHT: @maddow sits down with Hillary Clinton at 9 p.m. ET on @MSNBC. https://t.co/wpzxK6abAW https://t.co/1oQ4RaawSv'
@HillaryClinton,1123637930109603845,Twitter Web Client,2019-05-01 17:18:53,7229,31559,"b""Seeking asylum is a human right. We shouldn't charge fees to people who are fleeing persecution and violence.\n\n\xe2\x80\x9cGiv\xe2\x80\xa6 https://t.co/iCvyMosBAH"""
@HillaryClinton,1123630539779526656,Twitter Web Client,2019-05-01 16:49:31,237,0,"b'RT @Engage_Cuba: When @AmbJohnBolton announced new sanctions on Cuba last week, he said it was to help the Cuban people. So we asked some o\xe2\x80\xa6'"
@HillaryClinton,1123630230210514944,Twitter Web Client,2019-05-01 16:48:17,214,0,"b'RT @arenasummit: 2018 was only the beginning. In 2020, we have the power to make a decade of difference by targeting 9 key states across th\xe2\x80\xa6'"
@HillaryClinton,1123283588718444546,Twitter Web Client,2019-04-30 17:50:51,1386,8824,b'Bill and I are deeply saddened by the passing of our dear friend Ellen Tauscher. Ellen woke up every day determined\xe2\x80\xa6 https://t.co/I26Y1FXBoU'
@HillaryClinton,1123279226017329154,Twitter Web Client,2019-04-30 17:33:31,2299,0,"b'RT @MaddowBlog: Programming Note!\nHillary Clinton will be live in-studio for an interview with Rachel Maddow this Wednesday, 5/1 at 9pmET.\xe2\x80\xa6'"
@HillaryClinton,1123234941981081600,Twitter Web Client,2019-04-30 14:37:33,528,0,b'RT @CecileRichards: Thrilled to see the response to @supermajority + proud to be building this w/ brilliant women organizers like @aijenpoo\xe2\x80\xa6'
@HillaryClinton,1123232541140557824,Twitter Web Client,2019-04-30 14:28:01,215,0,"b'RT @runforsomething: Recruiting, training and supporting progressive candidates everywhere is how we win. We\xe2\x80\x99ve joined forces with @swingle\xe2\x80\xa6'"
@HillaryClinton,1123217060845297665,Twitter Web Client,2019-04-30 13:26:30,12082,31858,"b'Like clockwork, where Democrats win, Republicans seek to put new restrictions on voting. \n\nWe have to be vigilant i\xe2\x80\xa6 https://t.co/ESJkBFqFgG'"
@HillaryClinton,1122955785288454146,Twitter Web Client,2019-04-29 20:08:17,2501,10399,"b""I'm excited to see @CecileRichards, @aliciagarza, @aijenpoo, and the Pantsuit Nation community build this powerful\xe2\x80\xa6 https://t.co/5IFLA4hKHz"""
@HillaryClinton,1122928463453786113,Twitter Web Client,2019-04-29 18:19:43,1405,0,b'RT @RonWyden: I condemn this act of domestic terrorism. It\xe2\x80\x99s no accident that hate crimes are on the rise. We cannot turn a blind eye to th\xe2\x80\xa6'
@HillaryClinton,1122911242778304514,Twitter Web Client,2019-04-29 17:11:17,979,0,"b'RT @jordanklepper: So, we did this.  Hillary Clinton Reads the Mueller Report - Klepper https://t.co/3g9tS9uudm via @YouTube'"
@HillaryClinton,1122909137749381120,Twitter Web Client,2019-04-29 17:02:55,590,3113,"b'Bill, Chelsea and I are excited to meet a @ClintonFdn supporter next month in New York! Your support helps change l\xe2\x80\xa6 https://t.co/3V5nhd8dxD'"
@HillaryClinton,1122903134928613381,Twitter Web Client,2019-04-29 16:39:04,8346,46473,"b'This was... cathartic. Thank you, @JordanKlepper! https://t.co/hr1kBu0fkB'"
@HillaryClinton,1122150157708091392,Twitter Web Client,2019-04-27 14:47:00,1107,8297,"b'Thank you for a delightful evening, and please pass along to Jake that a positive review from him goes a long way i\xe2\x80\xa6 https://t.co/yEjjHePx8r'"
@HillaryClinton,1121900704313032704,Twitter Web Client,2019-04-26 22:15:46,1425,10558,b'Looking forward to sitting down with Bill and the one and only @StarJonesEsq in Connecticut tonight. Star has alrea\xe2\x80\xa6 https://t.co/PZHMKpR6TZ'
@HillaryClinton,1121813898137612288,Twitter Web Client,2019-04-26 16:30:50,651,0,"b""RT @ColorOfChange: It's been 5 years since the start of the water crisis and Flint still does NOT have CLEAN WATER. COC members and support\xe2\x80\xa6"""
@HillaryClinton,1121813499351576576,Twitter Web Client,2019-04-26 16:29:15,356,0,"b'RT @IndivisibleTeam: November 2020 isn\xe2\x80\x99t the finish line, it\xe2\x80\x99s a milestone. That\xe2\x80\x99s why it\xe2\x80\x99s up to us to make sure we have a nominee that fi\xe2\x80\xa6'"
@HillaryClinton,1121785100662910979,Twitter Web Client,2019-04-26 14:36:24,3675,19724,b'Grateful for this progress even as we all know that every additional day of delay is a tragedy. https://t.co/lBGKjDIIHw'
@HillaryClinton,1121412759319715840,Twitter Web Client,2019-04-25 13:56:51,3363,18116,"b'After a decade of amazing progress in combating deaths from malaria, progress has leveled off over the past few yea\xe2\x80\xa6 https://t.co/FTAkQdLr8m'"
@HillaryClinton,1121168547282079747,Twitter Web Client,2019-04-24 21:46:26,17405,59942,"b""Robert Mueller's report documents a serious crime against the American people. All Americans should demand action a\xe2\x80\xa6 https://t.co/gBI6ka5JO9"""
@HillaryClinton,1121154484875382784,Twitter Web Client,2019-04-24 20:50:33,4919,18370,b'A piece of good news for reproductive rights: A judge has blocked the administration\xe2\x80\x99s Title X gag rule. \xe2\x80\x9cAt the he\xe2\x80\xa6 https://t.co/5Wv3mPziKC'
@HillaryClinton,1121138388676038656,Twitter Web Client,2019-04-24 19:46:36,6110,25890,b'Adding a citizenship question to the Census would undoubtedly lead Latino and other residents to avoid responding.\xe2\x80\xa6 https://t.co/BeYGNy2Lnk'
@HillaryClinton,1121119526123462658,Twitter Web Client,2019-04-24 18:31:39,17284,49413,b'This is despicable. The Trump administration is not only ceding America\xe2\x80\x99s role as a leader on the human rights of w\xe2\x80\xa6 https://t.co/lLm3dR2jAA'
@HillaryClinton,1121105040532484097,Twitter Web Client,2019-04-24 17:34:05,6634,26225,b'This is not just about a reckoning with the recent past. This is about what is going on today and threats to our ne\xe2\x80\xa6 https://t.co/DDq05Wpa7M'
@HillaryClinton,1120748909347901441,Twitter for iPhone,2019-04-23 17:58:57,662,3717,b'Tune in now! https://t.co/VKXowOjCVy'
@HillaryClinton,1120677734718615552,Twitter Web Client,2019-04-23 13:16:07,1384,9744,"b""I enjoyed telling @annfriedman about one of the many times I'm glad I followed my mother's advice. \n\nEighteen years\xe2\x80\xa6 https://t.co/TWC2SOylZJ"""
@HillaryClinton,1120372068774752256,Twitter Web Client,2019-04-22 17:01:31,1243,4355,"b'.@RunForSomething has endorsed 38 incredible new candidates, including a Navy Reserveman running to improve health\xe2\x80\xa6 https://t.co/6ul0pIBlKa'"
@HillaryClinton,1120339997792591874,Twitter Web Client,2019-04-22 14:54:05,8275,44137,b'Wonderful news: Three communities of worshippers in Louisiana have surpassed their fundraising goal to rebuild afte\xe2\x80\xa6 https://t.co/nDugDuCPwV'
@HillaryClinton,1120319932288393216,Twitter Web Client,2019-04-22 13:34:21,7431,41752,"b""This #EarthDay, I'm thankful for the millions of young people around the world who have marched and gone on strike\xe2\x80\xa6 https://t.co/mFb91tt5NL"""
@HillaryClinton,1120013694073810944,Twitter Web Client,2019-04-21 17:17:28,8947,63620,"b""On this holy weekend for many faiths, we must stand united against hatred and violence. I'm praying for everyone af\xe2\x80\xa6 https://t.co/lrz96LpNDZ"""
@HillaryClinton,1119975243324456962,Twitter Web Client,2019-04-21 14:44:40,3804,35169,"b'Wishing love, hope, and renewal to everyone celebrating Easter today.'"
@HillaryClinton,1119726463039758342,Twitter Web Client,2019-04-20 22:16:06,1716,16863,"b'To all who are celebrating, chag Pesach sameach!'"
